[09-Mar-2024 20:08:11 UTC] wps:2132
[09-Mar-2024 20:22:56 UTC] end ci_import_product(wps, 824 -> update)
[09-Mar-2024 20:22:56 UTC] start ci_import_product(wps, 914)
[09-Mar-2024 20:22:59 UTC] end ci_import_product(wps, 914 -> ignore)
[09-Mar-2024 20:22:59 UTC] start ci_import_product(wps, 934)
[09-Mar-2024 20:23:02 UTC] end ci_import_product(wps, 934 -> update)
[09-Mar-2024 20:23:04 UTC] start ci_import_product(wps, 1064)
[09-Mar-2024 20:23:07 UTC] end ci_import_product(wps, 1064 -> update)
[09-Mar-2024 20:23:07 UTC] start ci_import_product(wps, 1121)
[09-Mar-2024 20:23:08 UTC] end ci_import_product(wps, 1121 -> update)
[09-Mar-2024 20:23:08 UTC] start ci_import_product(wps, 1249)
[09-Mar-2024 20:23:18 UTC] end ci_import_product(wps, 1249 -> update)
[09-Mar-2024 20:23:18 UTC] start ci_import_product(wps, 1317)
[09-Mar-2024 20:23:21 UTC] end ci_import_product(wps, 1317 -> update)
[09-Mar-2024 20:23:21 UTC] start ci_import_product(wps, 1318)
[09-Mar-2024 20:23:23 UTC] end ci_import_product(wps, 1318 -> ignore)
[09-Mar-2024 20:23:23 UTC] start ci_import_product(wps, 1319)
[09-Mar-2024 20:23:25 UTC] end ci_import_product(wps, 1319 -> update)
[09-Mar-2024 20:23:25 UTC] start ci_import_product(wps, 1320)
[09-Mar-2024 20:23:28 UTC] end ci_import_product(wps, 1320 -> update)
[09-Mar-2024 20:23:28 UTC] start ci_import_product(wps, 1327)
[09-Mar-2024 20:23:30 UTC] end ci_import_product(wps, 1327 -> update)
[09-Mar-2024 20:23:30 UTC] start ci_import_product(wps, 1328)
[09-Mar-2024 20:23:33 UTC] end ci_import_product(wps, 1328 -> update)
[09-Mar-2024 20:23:33 UTC] start ci_import_product(wps, 1329)
[09-Mar-2024 20:23:35 UTC] end ci_import_product(wps, 1329 -> update)
[09-Mar-2024 20:23:38 UTC] start ci_import_product(wps, 1330)
[09-Mar-2024 20:23:39 UTC] end ci_import_product(wps, 1330 -> update)
[09-Mar-2024 20:23:39 UTC] start ci_import_product(wps, 1399)
[09-Mar-2024 20:23:41 UTC] end ci_import_product(wps, 1399 -> ignore)
[09-Mar-2024 20:23:41 UTC] start ci_import_product(wps, 1402)
[09-Mar-2024 20:23:43 UTC] end ci_import_product(wps, 1402 -> ignore)
[09-Mar-2024 20:23:43 UTC] start ci_import_product(wps, 1403)
